scenario,method,metric,n,difference_vs_q_mean,difference_vs_q_se,difference_vs_q_ci95,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
wind_drift,cafd_uniform,mean_normalized_dynamic_regret,20,-0.4100181924482996,0.08754759490645006,0.17159328601664212,-0.5818066281890527,-0.24729687023278948,True
wind_drift,cafd_uniform,postchange_regret_500,20,-0.26538914036872574,0.06299831384214354,0.12347669513060133,-0.38877919407604683,-0.14726363368961903,True
wind_drift,cafd_uniform,postchange_regret_2000,20,-0.15831688497731206,0.03688235612663832,0.0722894180082111,-0.2299413630413455,-0.08819688365873744,True
wind_drift,cafd_uniform,tail_dynamic_regret,20,-0.15691523780414104,0.04092590293583393,0.0802147697542345,-0.23652106287835573,-0.08049139434595103,True
wind_drift,cafd_lite,mean_normalized_dynamic_regret,20,-0.4403812065888852,0.08888438979098866,0.17421340399033777,-0.6158772011742423,-0.27535450815686785,True
wind_drift,cafd_lite,postchange_regret_500,20,-0.272767685183524,0.06355249133136866,0.12456288300948257,-0.3972156593850449,-0.1533130906594133,True
wind_drift,cafd_lite,postchange_regret_2000,20,-0.18004126545853286,0.03758978048916775,0.07367596975876879,-0.25351514932606856,-0.10932964404193563,True
wind_drift,cafd_lite,tail_dynamic_regret,20,-0.16187964846313946,0.04049255068525428,0.07936539934309839,-0.24209244813210323,-0.08674322693905513,True
wind_drift,cafd_surprise,mean_normalized_dynamic_regret,20,-0.44482389678835793,0.0856948492837868,0.16796190459622212,-0.6133383371326736,-0.2850785084702257,True
wind_drift,cafd_surprise,postchange_regret_500,20,-0.27148528182609316,0.06377091612229775,0.12499099559970359,-0.39626188045243715,-0.1526466834561041,True
wind_drift,cafd_surprise,postchange_regret_2000,20,-0.17235728500199068,0.037101894811602636,0.07271971383074116,-0.24442301422671045,-0.10261428892780153,True
wind_drift,cafd_surprise,tail_dynamic_regret,20,-0.16956034644817305,0.03914312719024069,0.07672052929287175,-0.24575671471709887,-0.09680319903058145,True
wind_drift,oracle_dyna,mean_normalized_dynamic_regret,20,-0.436580543757455,0.08302210657135065,0.16272332887984725,-0.6002367451136611,-0.2820176400331394,True
wind_drift,oracle_dyna,postchange_regret_500,20,-0.2792366713792009,0.06375739278086548,0.12496448985049634,-0.4041469914515942,-0.16017248545856158,True
wind_drift,oracle_dyna,postchange_regret_2000,20,-0.17952028940295275,0.03618060631185738,0.07091398837124045,-0.2503098653629438,-0.11189919634999396,True
wind_drift,oracle_dyna,tail_dynamic_regret,20,-0.16498826759110205,0.041023318797583926,0.0804057048432645,-0.24466104007861106,-0.08806427904206442,True
recurring_composition,sarsa_lambda,mean_normalized_dynamic_regret,20,0.01346736028162753,0.018802153147032766,0.03685222016818422,-0.021724118269365426,0.04917723360700422,False
recurring_composition,sarsa_lambda,postchange_regret_500,20,0.025668342261468302,0.013355589353293767,0.026176955132455784,0.0002795606732450712,0.050308802522832624,True
recurring_composition,sarsa_lambda,postchange_regret_2000,20,0.00432721953569515,0.016281165318167437,0.03191108402360818,-0.026287631846706204,0.0360343314132473,False
recurring_composition,sarsa_lambda,tail_dynamic_regret,20,-0.024585916365315413,0.013969106045855105,0.027379447849876004,-0.0534310961964178,0.0003844624236217966,False
recurring_composition,latest_dyna,mean_normalized_dynamic_regret,20,-0.035661250145777444,0.017456356191510508,0.034214458135360594,-0.06982429875918614,-0.0035033862467481035,True
recurring_composition,latest_dyna,postchange_regret_500,20,-0.017175130530767548,0.02049521195691895,0.04017061543556114,-0.0581528766843058,0.020141985261780567,False
recurring_composition,latest_dyna,postchange_regret_2000,20,-0.014733653122255466,0.022223698955991765,0.04355844995374386,-0.05649793931611374,0.027984313982549573,False
recurring_composition,latest_dyna,tail_dynamic_regret,20,-0.012532602648524491,0.0246407505215442,0.04829587102222663,-0.05973538058628839,0.03423896428449441,False
recurring_composition,empirical_dyna,mean_normalized_dynamic_regret,20,-0.0784705243116624,0.022789614688794278,0.044667644790036785,-0.12147371505587098,-0.03568532639209616,True
recurring_composition,empirical_dyna,postchange_regret_500,20,-0.05770429805682782,0.02195155736554336,0.04302505243646498,-0.10212728841422863,-0.018792858368846695,True
recurring_composition,empirical_dyna,postchange_regret_2000,20,-0.030697450055673824,0.022326994339052723,0.04376090890454334,-0.07373483007304148,0.009831310894267574,False
