scenario,method,n,mean_normalized_dynamic_regret_mean,mean_normalized_dynamic_regret_se,mean_normalized_dynamic_regret_ci95,postchange_regret_500_mean,postchange_regret_500_se,postchange_regret_500_ci95,postchange_regret_2000_mean,postchange_regret_2000_se,postchange_regret_2000_ci95,tail_dynamic_regret_mean,tail_dynamic_regret_se,tail_dynamic_regret_ci95,tail_model_error_mean,tail_model_error_se,tail_model_error_ci95,tail_preferred_goal_fraction_mean,tail_preferred_goal_fraction_se,tail_preferred_goal_fraction_ci95,stream_average_reward_mean,stream_average_reward_se,stream_average_reward_ci95,elapsed_seconds_mean,elapsed_seconds_se,elapsed_seconds_ci95
recurring_composition,q_learning,20,0.4691125123185227,0.01267652119703008,0.024845981546178956,0.3737418670699614,0.009788689041265279,0.019185830520879948,0.26615061015370856,0.010117407806242533,0.019830119300235365,0.23116932734964152,0.008544443319749928,0.01674710890670986,nan,nan,nan,0.20555334449906817,0.06537842388929367,0.1281417108230156,0.3764647499998898,0.009551606676124612,0.01872114908520424,6.630801502801478,0.21974699657473415,0.43070411328647895
recurring_composition,sarsa_lambda,20,0.48257987260015034,0.011629305799528965,0.02279343936707677,0.3994102093314297,0.01378556260013285,0.027019702696260382,0.2704778296894036,0.01527699282052705,0.029942905928233017,0.20658341098432614,0.01558801996158482,0.030552519124706246,nan,nan,nan,0.24185580738705736,0.09242926531328635,0.18116136001404123,0.35105837499988823,0.01079785277185617,0.021163791432838093,6.780376119725406,0.202201792151369,0.39631551261668324
recurring_composition,latest_dyna,20,0.43345126217274527,0.01548309255679894,0.030346861411325924,0.35656673653919385,0.019313828991434193,0.03785510482321102,0.251416957031453,0.021338579382060525,0.04182361558883863,0.21863672470111703,0.02022000813972768,0.03963121595386625,0.4315507733134921,0.008648979110084491,0.016951999055765603,0.4236095072312745,0.08474195681133527,0.16609423535021714,0.36237424999989,0.012326687917005575,0.024160308317330927,11.103330044727773,0.32242455229356926,0.6319521224953957
recurring_composition,empirical_dyna,20,0.39064198800686034,0.019938876900602136,0.03908019872518018,0.3160375690131335,0.018551417750197797,0.03636077879038768,0.23545316009803474,0.017487255728379242,0.03427502122762331,0.20522469717372277,0.019638751834147327,0.03849195359492876,0.36375025748846024,0.010350666665814225,0.02028730666499588,0.321936638471178,0.07213294586776468,0.1413805739008188,0.39186499999991786,0.012316259727871513,0.024139869066628163,13.051373734325171,0.3643160438250618,0.7140594458971211
recurring_composition,ema_dyna,20,0.3683813227535742,0.017700751515950058,0.034693472971262115,0.3383383815921831,0.012038902653580843,0.02359624920101845,0.2410585892244324,0.016466252176164514,0.032273854265282446,0.19557883769211695,0.014594658709302056,0.02860553107023203,0.3123365756059025,0.010605120398295162,0.020786035980658518,0.3897874185999186,0.07448965216993281,0.1459997182530683,0.39886699999991154,0.009524888572709328,0.018668781602510284,13.680065665673464,0.4054218054243232,0.7946267386316734
recurring_composition,prioritized_ema,20,0.38831945835528103,0.022367807600542654,0.0438409028970636,0.32498024760420735,0.024681927019781703,0.048376576958772136,0.2231409804315995,0.021057251436334645,0.041272212815215904,0.16755249508625703,0.021065473759555555,0.04128832856872889,0.32684847364769043,0.013976305631653597,0.02739355903804105,0.6595581160433134,0.07091786280227776,0.1389990110924644,0.3835666249999248,0.015120143198337505,0.02963548066874151,73.73835969008505,1.671083110669965,3.2753228969131314
recurring_composition,cafd_uniform,20,0.26840935753132744,0.006215728643334168,0.01218282814093497,0.3592357345191328,0.009149250631379058,0.017932531237502953,0.18455621069078446,0.005581850058534433,0.010940426114727488,0.15989669484270616,0.007703008763421579,0.015097897176306295,0.04004923476404774,0.0008124982539287444,0.001592496577700339,0.5127350507679455,0.04150720529627311,0.0813541223806953,0.43682062499994834,0.0031295727484842713,0.0061339625870291715,25.41370160263032,0.5358156806566516,1.0501987340870371
recurring_composition,cafd_lite,20,0.26184698834832276,0.004169624790041375,0.008172464588481095,0.3514251139390139,0.009652449311578232,0.018918800650693336,0.18444763515260806,0.007660956851463804,0.015015475428869055,0.15805749246646117,0.005413796116880939,0.01061104038908664,0.04034822776598041,0.0011060888446714238,0.0021679341355559907,0.5173834325396824,0.03568957390551488,0.06995156485480916,0.44813649999999383,0.002421014110329756,0.004745187656246322,54.8957364551723,0.8767300446862635,1.7183908875850764
recurring_composition,cafd_surprise,20,0.2765917281825296,0.005539026177491222,0.010856491307882795,0.4344502322214977,0.012357984381235462,0.024221649387221506,0.2059620365354816,0.005948174582384516,0.011658422181473652,0.16722903672817027,0.007118854976899824,0.013952955754723655,0.0718979836910995,0.001706135489297864,0.0033440255590238134,0.5423007143566354,0.044352278831389425,0.08693046650952327,0.44143162499996597,0.0024568919328326047,0.004815508188351905,51.494589309813456,1.0210939738990388,2.001344188842116
recurring_composition,oracle_dyna,20,0.2503395971410033,0.003935197120350948,0.007712986355887857,0.380489050116972,0.011478737380220497,0.022498325265232173,0.17548574576269552,0.006063952831780439,0.01188534755028966,0.1337933188955639,0.005186532142131312,0.010165602998577371,0.0,0.0,0.0,0.7880197749983934,0.024547667331098807,0.04811342796895366,0.44507787499996904,0.0018703409683840616,0.0036658682980327604,18.691335627669467,0.5351955391714738,1.0489832567760886
